reactionid,flux
R172,0.0716661712558339
R174,0.1364526368766912
R180,0.0811681862135597
R184,0.0660513442353596
R185,0.1230325832837993
R186,0.0998637091498642
R187,0.0028382642081518
R191,0.0199604015508069
R237,0.1552098612088251
R239,0.1552098612088251
R240,0.155209861208825
R243,0.0835436899529911
R247,0.2912291691826124
R254,1.877609351981908
R465,0.2781467040927813
R466,0.0360065282515933
R467,0.0360065282515933
R468,0.0360065282515933
R469,0.0360065282515933
R470,0.0360065282515933
R472,0.0360065282515933
R473,0.0360065282515933
R474,0.0360065282515933
R475,0.0360065282515933
R477,0.0360065282515933
R478,0.0360065282515933
R479,0.0360065282515933
R480,0.0360065282515933
R482,0.0360065282515933
R483,0.0360065282515933
R484,0.0360065282515933
R485,0.0360065282515933
R487,0.0360065282515933
R488,0.0360065282515933
R489,0.0360065282515933
R490,0.0360065282515933
R492,0.0360065282515933
R493,0.0360065282515933
R494,0.0360065282515933
R495,0.0360065282515933
R497,0.0360065282515933
R498,0.0360065282515934
R499,0.0360065282515933
R500,0.0360065282515933
R502,0.025055352776507
R503,0.025055352776507
R579,2.079059383169136e-05
R604,2.3549571746202453e-05
R605,0.0001359247814353
R606,0.0001239513170676
R621,0.0001562091153142
R642,0.0647494447833596
R754,0.0119176153492368
R760,0.0094927597483513
R811,0.0016751928967678
R818,0.0003990429797822
R819,0.0003990429797822
R820,0.0035911646930156
R821,0.0035911646930156
R822,0.0029695231300345
R823,0.0029695231300345
R824,0.0079624617819444
R825,0.0079624617819444
R830,0.002232418202503
R831,0.0019734574442071
R832,0.0019734574442071
R837,0.0003990429797822
R839,0.0035911646930156
R840,0.0034836608085272
R842,0.0029695231300345
R843,0.0028620192455461
R845,0.0026006104843706
R901,0.0915498779716303
R908,0.0002915390952938
R909,0.0034836608085272
R910,0.0028620192455461
R918,0.0199604015508069
R921,0.0621901325857524
R945,0.0227061136652147
R1003,0.0998637091498642
R1012,0.0998637091498642
R1044,10.861942173008568
R1193,0.0806437243490099
R1204,0.0199604015508069
R1244,0.1364526368766912
R1357,0.043403899342372
R1360,0.0115381610200955
R1366,0.0204293938605088
R1378,2.1908846267217967
R1410,0.0061146083266923
R1442,0.020643744509618
R1519,0.0001769997091459
R1522,0.0001086654132649
R1525,0.0001493790793029
R1659,0.0168641823171112
R1695,0.0215831482611198
R1696,0.0215831482611198
R1720,0.0002589607582959
R1827,0.0620407535064494
R1835,0.1890839275191589
R1865,0.0620407535064494
R1868,0.0660513442353596
R2074,0.0107915741305599
R2604,5.909401271371955
R10,18.57818760058022
R782,0.0151537758167295
