reactionid,equation,flux
R943,R943: gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,0.021004990604588866
R944,R944: eig3p_c --> h2o_c + imacp_c,0.021004990604588866
R946,R946: h2o_c + hisp_c --> histd_c + pi_c,0.021004990604588866
R947_num1,R947_num1: h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,0.02100499060458887
R977,R977: CDPDG_c + inost_c --> cmp_c + pailho_c_c,0.0003977991332080468
R989,R989: 2ahbut_m + h_m + nadph_m --> 23dhmp_m + nadp_m,0.05739271210031009
R993,R993: P_BENZOQUINONE_c + lac__L_c --> hqn_c + pyr_c,0.8644765123357123
R1001,R1001: 2obut_m + coa_m + nad_m --> co2_m + nadh_m + ppcoa_m,0.00013818772351551544
R1003_num1,R1003_num1: HCIT_m --> b124tc_m + h2o_m,0.09238200351501928
R1004_num1,R1004_num1: b124tc_m + h2o_m --> hicit_m,0.09238200351501927
R1005,R1005: hicit_m + nad_m --> h_m + nadh_m + oxag_m,0.09238200351501927
R1006,R1006: h_m + oxag_m --> 2oxoadp_m + co2_m,0.09238200351501928
R1013,R1013: L2aadp6sa_m + glu__L_m + h_m + nadph_m --> h2o_m + nadp_m + saccrp__L_m,0.09238200351501928
R1014_num1,R1014_num1: h2o_m + nad_m + saccrp__L_m --> akg_m + h_m + lys__L_m + nadh_m,0.09238200351501927
R1015,R1015: accoa_m + akg_m + h2o_m --> HCIT_m + coa_m + h_m,0.0923820035150193
R1016,R1016: L2aadp_m + 2.0 h_m + nadh_m --> L2aadp6sa_m + h2o_m + nad_m,0.09238200351501927
R1033_num1,R1033_num1: cit_m --> icit_m,0.64620398086158
R1036,R1036: atp_c + f6p_c --> adp_c + fdp_B_c + h_c,10.611483675643733
R1044_num1,R1044_num1: fdp_B_c --> dhap_c + g3p_c,10.611483675643733
R1106,R1106: mlthf_c + nad_c --> methf_c + nadh_c,0.058802672094641045
R1107_num1,R1107_num1: h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c,0.020551499706889256
R1114_num1,R1114_num1: h2o_c + methf_c --> 10fthf_c + h_c,0.05880267209464105
R1122_num1,R1122_num1: h2o_c + ppi_c --> h_c + 2.0 pi_c,2.108661982235647
R1171,R1171: C170ACP_c + h_c + nadh_c + o2_c --> C171ACP_c + 2.0 h2o_c + nad_c,0.0001381877235155154
R1188,R1188: glu__L_c + phpyr_c --> akg_c + phe__L_c,0.04943022245536404
R1194_num1,R1194_num1: 2dda7p_c --> 3dhq_c + pi_c,0.07460196391358058
R1195_num1,R1195_num1: 3dhq_c --> 3dhsk_c + h2o_c,0.07460196391358058
R1197_num1,R1197_num1: 3dhsk_c + h_c + nadh_c --> nad_c + skm_c,0.07460196391358058
R1199_num1,R1199_num1: atp_c + skm_c --> adp_c + h_c + skm5p_c,0.07460196391358058
R1200_num1,R1200_num1: pep_c + skm5p_c --> 3psme_c + pi_c,0.07460196391358058
R1201,R1201: 3psme_c --> chor_c + pi_c,0.0746019639135806
R1202,R1202: chor_c --> pphn_c,0.05613697896634011
R1203,R1203: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c,0.0067067565109760665
R1205,R1205: anth_c + prpp_c --> ppi_c + pran_c,0.018464984947240484
R1206,R1206: pran_c --> 2cpr5p_c,0.018464984947240484
R1207,R1207: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,0.018464984947240488
R1269,R1269: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c,0.018898840745026093
