	log2FoldChange	pvalue
MYCTH_2294362	2.245321801	4.38797E-18
MYCTH_2294366	-1.42372581	1.10684E-08
MYCTH_2294367	-0.353229195	0.111854391
MYCTH_2294369	0.668926569	0.006022079
MYCTH_2294372	-0.641668183	0.001149339
MYCTH_2294375	-0.088896493	0.617294203
MYCTH_75696	0.684744769	0.005761882
MYCTH_2294384	0.017904469	0.949664302
MYCTH_2294385	-0.082903693	0.9220494
MYCTH_2294386	0.199984192	0.347916683
MYCTH_98729	-0.983296977	1.29378E-07
MYCTH_2294390	-0.203585967	0.308366014
MYCTH_2294392	-0.370615866	0.208751081
MYCTH_2294394	0.474546654	0.008650186
MYCTH_2294398	-0.260371337	0.364331925
MYCTH_2294400	0.214321194	0.202834795
MYCTH_2294401	0.167638652	0.55005351
MYCTH_2087238	0.599258061	0.003094476
MYCTH_2294405	0.854882149	0.000431628
MYCTH_2294406	0.372410957	0.24431256
MYCTH_2294408	0.005876808	0.987028445
MYCTH_2294412	0.194085099	0.28257811
MYCTH_2294414	-0.456541438	0.010965935
MYCTH_2294415	0.547979691	0.045900641
MYCTH_2294417	1.078408085	0.001030146
MYCTH_2294418	0.074762503	0.607637321
MYCTH_2294421	-0.358208994	0.177124057
MYCTH_2294422	0.431582609	0.021755386
MYCTH_2294426	-0.429778605	0.012833882
MYCTH_2294427	-0.265896353	0.096499998
MYCTH_2294429	0.385784017	0.043810129
MYCTH_2294430	-0.554530325	0.003436281
MYCTH_2294433	1.078407974	2.13741E-05
MYCTH_2294435	-0.166435933	0.320334093
MYCTH_2074663	0.361381615	0.010863265
MYCTH_105650	0.54358916	0.002617911
MYCTH_2294445	-0.910966585	3.47515E-05
MYCTH_2041072	0.095870427	0.900461902
MYCTH_2294446	-0.225600556	0.347041219
MYCTH_42476	-0.128034455	0.720248555
MYCTH_2294448	0.984355142	1.2201E-08
MYCTH_75762	0.531343714	0.00022234
MYCTH_2294455	1.74844895	1.98041E-08
MYCTH_2054555	0.691925796	0.006701126
MYCTH_2294459	-0.299946871	0.009082789
MYCTH_16224	-0.167294802	0.605286904
MYCTH_2122159	0.543960693	0.011080395
MYCTH_2054177	1.761519028	0.219266607
MYCTH_2054788	#N/A	#N/A
MYCTH_2050200	#N/A	#N/A
MYCTH_2313324	0.955600608	8.28445E-09
MYCTH_2294471	-0.866701363	0.013436878
MYCTH_2294472	1.074172896	2.3909E-05
MYCTH_2294476	0.02334982	0.830832294
MYCTH_2294478	-0.195908814	0.335797308
MYCTH_2294482	-0.048425587	0.87080109
MYCTH_2294483	0.204774756	0.504703054
MYCTH_2294485	-0.609240103	0.003896036
MYCTH_98773	1.157882328	0.048619797
MYCTH_2122175	0.520611159	0.186425808
MYCTH_2294490	-0.651763013	0.004756335
MYCTH_2294493	1.833019921	2.7211E-15
MYCTH_2294496	0.501318328	0.000570835
MYCTH_2019108	-0.16963159	0.624814783
MYCTH_2294498	0.180169788	0.258799971
MYCTH_2294499	0.231582937	0.123122869
MYCTH_2313329	-0.89589773	0.11922286
MYCTH_2294503	0.080126321	0.72786135
MYCTH_2294504	-1.407884038	5.93404E-09
MYCTH_14609	0.228370441	0.724119583
MYCTH_2313331	0.035850731	0.911506733
MYCTH_44554	-0.597418453	0.032313364
MYCTH_105669	-0.147627592	0.385408182
MYCTH_2294518	0.130294806	0.454909345
MYCTH_2294520	-0.662468178	0.031468601
MYCTH_2294522	-0.055303652	0.846994889
MYCTH_2294523	-1.233964104	0.000157366
MYCTH_2294525	-0.098848406	0.671638963
MYCTH_2122196	-0.047838371	0.961171707
MYCTH_2313333	1.189572642	2.91603E-08
MYCTH_2122199	-0.393487018	0.403196021
MYCTH_75824	0.059318525	0.799268606
MYCTH_2313336	0.415380978	0.00926745
MYCTH_2294540	0.270001168	0.471107861
MYCTH_2294541	0.19888016	0.4451421
MYCTH_2122204	-0.22038782	0.476163098
MYCTH_2294543	0.631394428	0.020756866
MYCTH_90896	1.433818922	0.003914162
MYCTH_42394	-2.357633613	0.003195152
MYCTH_2294547	-0.026646644	0.906189591
MYCTH_2294549	1.06553473	0.276073377
MYCTH_2294550	0.161071509	0.601985674
MYCTH_2294554	0.309898622	0.19344956
MYCTH_2294555	-0.486774703	0.058127235
MYCTH_2294558	0.108060168	0.390432965
MYCTH_2294559	0.125625449	0.653029676
MYCTH_2313342	-0.132964422	0.372814445
MYCTH_62052	1.822492292	7.12403E-21
MYCTH_2294574	-0.782010027	0.023587823
MYCTH_2087375	-0.408846005	0.01070287
MYCTH_2294582	0.148800886	0.665985172
MYCTH_2294585	0.247923162	0.160632804
MYCTH_2294587	0.476318942	0.127502433
MYCTH_2294589	-0.328794303	0.054595687
MYCTH_2294596	0.252430358	0.175362673
MYCTH_2294601	0.167029822	0.786156838
MYCTH_2313350	0.747686579	0.004640509
MYCTH_2294607	-0.522992332	0.002343123
MYCTH_62074	0.083512834	0.670940693
MYCTH_2294614	0.706682242	0.003834478
MYCTH_8962	0.095988225	0.844241563
MYCTH_2294618	-1.072707202	4.80633E-05
MYCTH_2294621	-0.408614956	0.032631642
MYCTH_2294623	-0.429322436	0.087728062
MYCTH_2294624	0.799741198	5.69683E-05
MYCTH_2074790	-0.162161429	0.625275686
MYCTH_2294631	-0.028477131	0.888715836
MYCTH_2294635	-0.778165964	0.000228832
MYCTH_2313356	0.100357049	0.663903643
MYCTH_2294640	0.386920562	0.064289959
MYCTH_2294643	0.479026496	0.010720404
MYCTH_2294646	0.324185857	0.517167653
MYCTH_110187	-0.474151685	0.016264754
MYCTH_2294650	0.032447615	0.889231761
MYCTH_2294653	-0.333458135	0.70248305
MYCTH_2294655	0.270887157	0.047381269
