GeneID,F15.6,F25.1,F39.6,F48.7
Mycth_2297128,6.22,2.04,19.9,22.65
Mycth_2294482,24.63,32.5,24.65,22.64
Mycth_2306973,18.85,13.47,25.21,22.62
Mycth_2312112,18.03,10.58,24.74,22.37
Mycth_2301771,24.81,20.51,17.83,22.31
Mycth_2297253,0.65,4.71,19.11,22.3
Mycth_99853,1.64,12.93,61.54,22.17
Mycth_2307682,12.6,14.76,17.51,22.13
Mycth_2312307,32.57,34.73,25.69,22.08
Mycth_2294863,34.86,22.45,26.78,21.98
Mycth_2299084,28.68,19.8,18.7,21.94
Mycth_2312849,22.43,18.87,20.3,21.93
Mycth_2299473,4.37,5.25,7.65,21.52
Mycth_80109,14.93,18.39,31.11,21.46
Mycth_2305504,10.94,14.61,18.83,21.34
Mycth_91276,9.09,14.89,17.24,21.32
Mycth_2308690,34.19,29.41,24.54,21.14
Mycth_2299089,29.17,16.5,22.15,21.13
Mycth_55717,0.47,1.03,24.69,21.04
Mycth_2138347,46.57,33.23,25.42,21.03
Mycth_2303093,12.81,32.93,26.39,20.97
Mycth_2122766,41.62,29.41,21.04,20.94
Mycth_2019397,2.06,10.82,18.04,20.88
Mycth_2305436,11.26,14.66,19.9,20.81
Mycth_2129170,22.89,21.29,25.05,20.68
Mycth_2311469,12.09,13.64,15.54,20.66
Mycth_2307527,18.23,16.88,14.45,20.51
Mycth_2300049,22.89,20.97,20.91,20.48
Mycth_97932,3.95,6.85,18.96,20.38
Mycth_2308692,10,19.53,30.39,20.28
Mycth_2305689,6.16,8.34,18.99,20.27
Mycth_2310419,19.81,17.27,17.11,20.19
Mycth_2308190,20.92,21.87,23.07,20.03
Mycth_2307054,17.84,15.05,21.69,19.82
Mycth_2301294,29.76,30.38,23.76,19.8
Mycth_2067632,18.48,7.97,81.23,19.78
Mycth_2299604,11.73,18.02,18.42,19.72
Mycth_2302552,14.35,27.91,22.69,19.61
Mycth_2307515,21.46,18.07,17.46,19.4
Mycth_2296296,26.72,19.11,18.13,19.28
Mycth_2309516,9.85,14.58,23.08,19.18
Mycth_2127683,8.91,15.52,22.29,19.17
Mycth_2294618,30.41,29,17.83,19.04
Mycth_2294347,7.63,11.2,14.63,19.04
Mycth_2295186,3.07,4.27,19.17,18.95
Mycth_2306666,3.57,7.08,20.81,18.9
Mycth_2297761,22.75,20.73,22.22,18.5
Mycth_2313149,15.03,12.78,14.39,18.1
Mycth_77082,10.6,15.13,17.3,18.05
Mycth_52064,4.83,10.22,14.56,17.55
Mycth_83040,20.58,19.91,21.18,17.46
Mycth_2295836,14.77,18.8,16.32,17.44
Mycth_81817,25.38,30.82,25.48,17.4
Mycth_2055951,5.05,6.85,18.24,17.22
Mycth_2298257,3.83,2.64,4.77,17.15
Mycth_2130287,3.68,3.98,8.96,17.15
Mycth_2303108,16.4,9.13,13.16,17.09
Mycth_2113755,2.4,7.51,10.18,16.91
Mycth_69975,9.77,14.77,15.9,16.9
Mycth_2072543,22.71,12.42,14.3,16.63
Mycth_2310322,39.34,71.89,25.83,16.55
Mycth_2110987,9.32,12.65,9.27,16.41
Mycth_44863,1.34,3.4,8.81,16.38
Mycth_2299142,14.65,13.35,12.41,16.35
Mycth_2309414,13.36,15.57,17.08,16.24
Mycth_2295601,20.04,23.76,20.26,16.18
Mycth_2301035,11.28,13.73,15.15,16.17
Mycth_2300677,16.38,19.93,16.05,16.14
Mycth_2114617,0.35,5.53,19.02,16.11
Mycth_2299021,9.92,16.18,13.05,16.06
